id,type,properties,geometry,country
5806,Feature,"{'id': '37465', 'modern': 'Zolotoy Kurgan', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -330}","{'type': 'Point', 'coordinates': [33.912952, 45.063386]}",[]
7013,Feature,"{'id': '43127', 'modern': 'Umm el-Tut', 'latin': 'Thabatha', 'greek': '', 'ancient': 1, 'major': 0, 'type': '34', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [34.366286, 31.447337]}",[]
7166,Feature,"{'id': '38527', 'modern': 'Klukhor Pass', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': 300}","{'type': 'Point', 'coordinates': [41.8652778, 43.2441667]}",[]
7183,Feature,"{'id': '38544', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': 300}","{'type': 'Point', 'coordinates': [43.860028, 42.594177]}",[]
7203,Feature,"{'id': '41090', 'modern': 'Mamison', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [43.793056, 42.706111]}",[]
7234,Feature,"{'id': '45894', 'modern': 'Marukh', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [41.3848241, 43.3681229]}",[]
7533,Feature,"{'id': '40012', 'modern': 'Ponte Romana de São Lourenço', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '51', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [41.72126, -7.4063]}",[]
8763,Feature,"{'id': '37973', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [21.417919, 42.578415]}",[]
8764,Feature,"{'id': '37974', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [21.223014, 42.563601]}",[]
8765,Feature,"{'id': '37978', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [21.239923, 42.591446]}",[]
8803,Feature,"{'id': '38018', 'modern': 'Mavrovounoi', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -750, 'endyear': 300}","{'type': 'Point', 'coordinates': [32.837438, 35.097462]}",[]
8809,Feature,"{'id': '38024', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': 300}","{'type': 'Point', 'coordinates': [32.914055, 35.100727]}",[]
9053,Feature,"{'id': '38271', 'modern': 'Metalli Dardanici', 'latin': 'Metalli Dardanici', 'greek': '', 'ancient': 1, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [20.829577, 43.048294]}",[]
9124,Feature,"{'id': '38342', 'modern': 'Metalli Dardanici', 'latin': 'Metalli Dardanici', 'greek': '', 'ancient': 1, 'major': 0, 'type': '57', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [20.718858, 43.081074]}",[]
9414,Feature,"{'id': '37633', 'modern': 'Kellarka', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '63', 'building': 0, 'accuracy': 20, 'startyear': -750, 'endyear': -330}","{'type': 'Point', 'coordinates': [33.8942498, 35.1728266]}",[]
